catalogue,leader07_bibliographicLevel_ss,leader06_typeOfRecord_ss,count
uva,Monograph/Item,"Mixed materials",5
uva,"Monographic component part","Language material",246
uva,"Monographic component part","Cartographic material",80
uva,Serial,"Language material",41
uva,Serial,"Cartographic material",9
uva,Collection,"Language material",14
uva,Collection,"Cartographic material",5
uva,Collection,"Mixed materials",2
uva,Subunit,"Cartographic material",5
uva,Subunit,"Language material",2
uva," ",x,2
uva," ","Language material",1
uva,"Serial component part","Cartographic material",1
libris,Monograph/Item,"Language material",4941596
libris,Monograph/Item,"Cartographic material",12011
libris,Monograph/Item,"Notated music",5354
libris,Monograph/Item,"Two-dimensional nonprojectable graphic",1795
libris,Monograph/Item,Kit,1519
libris,Monograph/Item,"Nonmusical sound recording",1154
libris,Monograph/Item,"Projected medium",642
libris,Monograph/Item,"Musical sound recording",490
libris,Monograph/Item,"Computer file",432
libris,Monograph/Item,"Mixed materials",253
libris,Monograph/Item,"Three-dimensional artifact or naturally occurring object",86
libris,Monograph/Item,|,2
libris,Monograph/Item,"Manuscript language material",1
libris,"Monographic component part","Language material",447423
libris,"Monographic component part","Notated music",530
libris,"Monographic component part","Musical sound recording",12
libris,"Monographic component part","Nonmusical sound recording",6
libris,"Monographic component part","Computer file",3
libris,"Monographic component part","Mixed materials",3
libris,"Monographic component part","Cartographic material",2
libris,"Monographic component part",Kit,1
libris,"Monographic component part","Projected medium",1
libris,"Monographic component part","Three-dimensional artifact or naturally occurring object",1
libris,Serial,"Language material",314568
libris,Serial,"Notated music",80
libris,Serial,"Cartographic material",16
libris,Serial,"Computer file",13
libris,Serial,"Projected medium",8
libris,Serial,"Mixed materials",4
libris,Serial,"Nonmusical sound recording",3
libris,Serial,"Musical sound recording",1
libris,Collection,"Language material",56697
libris,Collection,"Two-dimensional nonprojectable graphic",827
libris,Collection,"Mixed materials",234
libris,Collection,"Musical sound recording",13
libris,Collection,"Cartographic material",5
libris,Collection,"Notated music",1
libris,"Serial component part","Language material",779
libris,"Serial component part","Computer file",2
libris,"Serial component part","Cartographic material",1
libris,Subunit,"Language material",412
libris,Subunit,"Notated music",2
libris,Subunit,"Mixed materials",1
libris,"Integrating resource","Language material",102
libris,M,"Language material",8
libris," ","Language material",1
libris," ",y,1
